anio,temperatura_media,viento_media,turismo_alto,Energia_consumida,mes_sin,mes_cos
-1.6780321477515627,-1.4861646589930495,1.067208737839574,0,237313.56,0.49999999999999994,0.8660254037844387
-1.6780321477515627,0.4241328139059174,-0.2649829778138182,0,219697.47,-0.8660254037844386,0.5000000000000001
-1.6780321477515627,0.06218171377769267,-0.2649829778138182,0,260027.36,-0.5000000000000004,0.8660254037844384
-1.6780321477515627,-1.117510760714301,0.6231448326217766,0,237448.27,-2.4492935982947064e-16,1.0
-1.6780321477515627,-0.7622624587366,0.6231448326217766,0,260651.74,0.8660254037844386,0.5000000000000001
-1.6780321477515627,-0.23944420299582844,1.2892406904484726,0,218494.96,1.0,6.123233995736766e-17
-1.6780321477515627,-1.1845387422195284,2.3994004534929663,0,250536.08,0.8660254037844387,-0.4999999999999998
-1.6780321477515627,-0.4204197530599422,-0.0429510252049195,0,230948.98,0.49999999999999994,-0.8660254037844387
-1.6780321477515627,0.3034824471965087,1.73330459566627,0,235381.43,1.2246467991473532e-16,-1.0
-1.6780321477515627,1.1882518030655036,0.8451767852306753,0,221630.93,-0.4999999999999997,-0.8660254037844388
-1.6780321477515627,2.354538681256453,0.6231448326217766,0,227117.02,-0.8660254037844384,-0.5000000000000004
-1.6780321477515627,1.1346294178613223,-0.7090468830316156,0,256651.25,-1.0,-1.8369701987210297e-16
-1.5787783313526398,-1.3655142922836423,1.5112726430573713,0,237313.56,0.49999999999999994,0.8660254037844387
-1.5787783313526398,0.32359084164807705,0.17908092740397918,0,219697.47,-0.8660254037844386,0.5000000000000001
-1.5787783313526398,-0.15901062518955641,1.5112726430573713,0,260027.36,-0.5000000000000004,0.8660254037844384
-1.5787783313526398,-0.8628044309944404,0.8451767852306753,0,237448.27,-2.4492935982947064e-16,1.0
-1.5787783313526398,-1.6269234201540266,0.8451767852306753,0,260651.74,0.8660254037844386,0.5000000000000001
-1.5787783313526398,-1.2649723200258005,1.067208737839574,0,218494.96,1.0,6.123233995736766e-17
-1.5787783313526398,-1.1845387422195284,2.1773685008840675,0,250536.08,0.8660254037844387,-0.4999999999999998
-1.5787783313526398,-0.7220456698334633,1.2892406904484726,0,230948.98,0.49999999999999994,-0.8660254037844387
-1.5787783313526398,0.16272368603553303,1.73330459566627,0,235381.43,1.2246467991473532e-16,-1.0
-1.5787783313526398,0.8061923084857106,0.8451767852306753,0,221630.93,-0.4999999999999997,-0.8660254037844388
-1.5787783313526398,1.0877098308076631,0.17908092740397918,0,227117.02,-0.8660254037844384,-0.5000000000000004
